simbol,naziv_tvrtke,sektor,datum,cijena_otvaranja,cijena_zatvaranja,najvisa_cijena,najniza_cijena,postotak_promjene,volumen,trzisna_kapitalizacija
2222.SR,Saudi Aramco,Energija,2025-10-24,26.00,25.86,26.16,25.66,-0.54,29079561,1667000000000
AAPL,Apple,Tehnologija,2025-10-24,261.19,262.82,264.13,259.18,1.25,38253720,3900000000000
AMZN,Amazon.com Inc.,Potro�a�ki sektor,2025-10-24,221.97,224.21,225.40,221.90,1.01,38620200,2390000000000
AVGO,Broadcom,Tehnologija,2025-10-24,352.51,354.13,358.30,350.87,0.46,16143739,1670000000000
GOOGL,Alphabet Inc.,Tehnologija,2025-10-24,256.58,259.92,261.68,255.31,2.70,28655126,3150000000000
META,Meta Platforms Inc.,Tehnologija,2025-10-24,736.79,738.36,741.41,731.15,0.21,9137700,1850000000000
MSFT,Microsoft,Tehnologija,2025-10-24,425.26,424.73,425.34,422.90,-0.13,15532360,3892000000000
NVDA,Nvidia,Tehnologija,2025-10-24,183.83,186.26,187.47,183.50,1.34,131296700,4530000000000
TSLA,Tesla,Automobilska industrija,2025-10-24,446.83,433.72,451.68,430.17,-2.93,94408400,1442000000000
TSM,TSMC,Tehnologija,2025-10-24,295.57,294.96,297.75,294.39,-0.21,8731100,1529000000000
